restaurant_id,cuisine_type
490,Sandwich
490,Soup
491,American
491,Deli
491,Sandwich
491,Salads
491,Pasta
491,Family Meals
492,Mexican
492,Latin American
492,Comfort Food
493,Bar Food
493,American
493,Wings
493,Chicken
493,Burgers
494,Burgers
494,American
494,Sandwiches
494,Wings
495,American
495,Fast Food
495,wings
495,Family Meals
496,American
496,Bar Food
496,BBQ
496,burger
496,Chicken Strips
496,Comfort Food
496,Dinner
496,pasta
496,salad
496,Sandwich
496,Soup
496,Steak
496,Traditional American
496,wings
496,Family Meals
497,Burgers
497,American
497,Sandwiches
497,Family Meals
498,Soul Food
498,Caribbean
498,Comfort Food
499,American
499,Chicken
499,Family Meals
499,Fried Chicken
499,Comfort Food
500,Fast Food
500,Italian
500,pizza
500,wings
501,Burritos
501,Fast Food
501,Mexican
502,Asian
502,Chinese
502,Family Meals
503,American
503,Fried Chicken
504,Everyday Essentials
504,Convenience
504,Pharmacy
504,Snacks
505,Pharmacy
505,Convenience
505,Everyday Essentials
505,Baby
506,Desserts
506,Coffee and Tea
507,American
507,Chicken
507,Family Meals
507,Fried Chicken
507,Comfort Food
508,Healthy
508,Sandwich
508,Soup
509,Vegetarian
509,Indian Curry
509,Healthy
509,Gluten Free
509,Vegan
510,American
510,Burgers
510,Fast Food
511,Healthy
511,Mexican
512,American
512,Burgers
512,Fast Food
513,American
513,Wings
513,Salads
513,Healthy
513,Family Meals
514,Burritos
514,Fast Food
514,Mexican
515,Asian
515,Chinese
515,Family Meals
516,Chicken
516,Wings
516,Sandwiches
516,Comfort Food
516,Family Meals
517,Vegetarian
517,Vegan
517,Indian Curry
517,Pakistani
517,Gluten Free
518,Breakfast and Brunch
518,salad
518,Sandwich
518,Family Meals
518,Pizza
518,Healthy
518,American
518,Chicken
519,Sandwich
519,Salads
519,Burgers
519,Healthy
519,Family Meals
520,American
520,Healthy
520,Juice and Smoothies
521,Comfort Food
521,American
521,Salads
521,Wings
522,American
522,Fried Chicken
522,Southern
522,Sandwich
522,Fast Food
523,Sandwich
523,Comfort Food
524,American
524,burger
524,Fast Food
524,Family Meals
525,Burritos
525,Fast Food
525,Mexican
526,American
526,Fried Chicken
527,BBQ
527,American
527,Burgers
527,Family Meals
528,Sandwich
528,American
528,Burgers
529,Ice Cream + Frozen Yogurt
529,Burgers
529,Chicken
529,American
530,American
530,Steak
